app_id	application	source_ref	public_repo	default_site_path	default_port	prerequisites	description
aspnet-core-vulnerable-lab	ASP.NET Core Vulnerable Lab	target-app-repos/aspnet-core-vulnerable-lab	https://github.com/dotnet/AspNetCore.Docs	C:/inetpub/SecurityTestingLab/aspnet-core-vulnerable-lab	18200	IIS;ASP.NET;.NET Hosting Bundle;URL Rewrite;Web Management Tools;database check	.NET/Kestrel/Razor/MVC route and model-binding coverage
dnn-legacy-lab	DotNetNuke DNN Legacy Lab	target-app-repos/dnn-legacy-lab	https://github.com/dnnsoftware/Dnn.Platform	C:/inetpub/SecurityTestingLab/dnn-legacy-lab	18201	IIS;ASP.NET;.NET Hosting Bundle;URL Rewrite;Web Management Tools;database check	.NET CMS/WebForms/plugin-style coverage
umbraco-cms-lab	Umbraco CMS Lab	target-app-repos/umbraco-cms-lab	https://github.com/umbraco/Umbraco-CMS	C:/inetpub/SecurityTestingLab/umbraco-cms-lab	18202	IIS;ASP.NET;.NET Hosting Bundle;URL Rewrite;Web Management Tools;database check	Modern .NET CMS workflow and content-management coverage
